sample_id	raw total sequences	filtered sequences	sequences	is sorted	1st fragments	last fragments	reads mapped	reads mapped and paired	reads unmapped	reads properly paired	reads paired	reads duplicated	reads MQ0	reads QC failed	non-primary alignments	total length	total first fragment length	total last fragment length	bases mapped	bases mapped (cigar)	bases trimmed	bases duplicated	mismatches	error rate	average length	average first fragment length	average last fragment length	maximum length	maximum first fragment length	maximum last fragment length	average quality	insert size average	insert size standard deviation	inward oriented pairs	outward oriented pairs	pairs with other orientation	pairs on different chromosomes	percentage of properly paired reads (%)	avg_depth	stdev_depth	num_ht_sites
ST20102295_S1_L001	1667474	0	1667474	1	835650	831824	1521351	1475338	146123	1474336	1615514	0	8565	0	192	416868500	208912500	207956000	380337750	379620102	0	0	7902667	2.081730e-02	250	250	250	250	250	250	36.4	343.7	76.9	697816	39679	174	0	88.4	130.73038555869715	41.975728116574516	557
ST20102302	9023369	0	9023369	1	4502287	4521082	8433248	8395560	590121	8352866	8962075	0	147865	0	639	1353505350	675343050	678162300	1264987200	1263409596	0	0	22576321	1.786936e-02	150	150	150	150	150	150	37.9	358.8	147.5	4153064	41826	2890	0	92.6	435.17402283937366	233.3841579359208	661
ST20110014	9242625	0	9242625	1	4610638	4631987	8805214	8769180	437411	8721618	9187243	0	150869	0	621	1386393750	691595700	694798050	1320782100	1318990205	0	0	23441562	1.777235e-02	150	150	150	150	150	150	37.8	340.8	142.1	4328102	54031	2457	0	94.4	454.32262484328805	245.62682466162258	570
ST20110285	3055285	0	3055285	1	1523479	1531806	2896659	2855960	158626	2842420	3010050	0	148086	0	80	458292750	228521850	229770900	434498850	433856871	0	0	8382261	1.932034e-02	150	150	150	150	150	150	37.2	414.3	202.5	1407429	18288	2263	0	93.0	149.438133285836	136.57316108506933	646
ST20110559	9368526	0	9368526	1	4675330	4693196	8653361	8644006	715165	8599226	9331540	0	193566	0	702	1405278900	701299500	703979400	1298004150	1296140137	0	0	3155528	2.434558e-03	150	150	150	150	150	150	37.9	315.1	145.1	4206207	114488	1308	0	91.8	446.5299830945777	197.92311507071634	403
ST20110560_S1_L001	1880219	0	1880219	1	941584	938635	1699546	1630604	180673	1627128	1797825	0	11555	0	205	470054750	235396000	234658750	424886500	424262293	0	0	8841911	2.084067e-02	250	250	250	250	250	250	36.5	337.3	65.3	786909	27578	815	0	86.5	146.1020051202035	52.69415899245854	760
ST20110562_S1_L001	819310	0	819310	1	410743	408567	599472	577234	219838	574040	793233	0	3286	0	149	204827500	102685750	102141750	149868000	149212097	0	0	3120311	2.091192e-02	250	250	250	250	250	250	36.1	274.0	27.0	246368	42233	16	0	70.1	51.38253212013013	21.676959231482204	704
ST20111348	9876662	0	9876662	1	4930064	4946598	9508524	9500020	368138	9452980	9859482	0	208685	0	689	1481499300	739509600	741989700	1426278600	1424873838	0	0	3365553	2.362001e-03	150	150	150	150	150	150	37.9	326.5	143.4	4663739	84783	1488	0	95.7	490.8799387725361	225.70159106166435	283
ST20111367	2685173	0	2685173	1	1334280	1350893	2462173	2430598	223000	2416454	2647944	0	52288	0	214	402775950	200142000	202633950	369325950	368536777	0	0	6639410	1.801560e-02	150	150	150	150	150	150	37.8	335.1	165.9	1181260	32767	1272	0	90.0	126.9377162486706	73.33375279423664	687
ST20111370	10602777	0	10602777	1	5290908	5311869	10023179	9985376	579598	9931692	10536955	0	167621	0	731	1590416550	793636200	796780350	1503476850	1500862030	0	0	27807326	1.852757e-02	150	150	150	150	150	150	38.0	325.5	144.8	4891933	97585	3170	0	93.7	516.9609514717571	281.07779183446377	635
ST20111371	3685616	0	3685616	1	1830617	1854999	3252457	3223254	433159	3196742	3643401	0	64422	0	304	552842400	274592550	278249850	487868550	486747312	0	0	8448635	1.735733e-02	150	150	150	150	150	150	37.9	310.6	147.8	1560328	50276	1023	0	86.7	167.65832994271724	96.74026175412438	624
ST20111372_S1_L001	1358004	0	1358004	1	680588	677416	1195194	1156458	162810	1155938	1313725	0	8993	0	197	339501000	170147000	169354000	298798500	298080513	0	0	6266018	2.102123e-02	250	250	250	250	250	250	36.5	310.7	52.8	536879	41286	64	0	85.1	102.64668011888574	41.92546058738354	1081
ST20111452_S1_L001	883923	0	883923	1	442873	441050	752070	727536	131853	725162	855901	0	6210	0	142	220980750	110718250	110262500	188017500	187350161	0	0	3940590	2.103329e-02	250	250	250	250	250	250	36.4	279.4	26.8	322357	41389	22	0	82.0	64.51527120851893	26.77702065739274	528
ST20111792	6442329	0	6442329	1	3218027	3224302	5998502	5963984	443827	5927756	6388199	0	104507	0	511	966349350	482704050	483645300	899775300	898296280	0	0	16053302	1.787083e-02	150	150	150	150	150	150	38.7	343.9	162.2	2926645	53274	2073	0	92.0	309.4114618556552	179.80201400849913	846
ST20112206	5059752	0	5059752	1	2512245	2547507	4993871	4981110	65881	4965656	5049333	0	102021	0	308	758962800	376836750	382126050	749080650	748527639	0	0	1890791	2.526014e-03	150	150	150	150	150	150	37.7	348.3	148.4	2457925	31897	733	0	98.1	257.8732372385077	126.04955103281164	210
ST20112208	7459996	0	7459996	1	3727478	3732518	6939064	6899784	520932	6862250	7393901	0	120264	0	514	1118999400	559121700	559877700	1040859600	1039479578	0	0	18688656	1.797886e-02	150	150	150	150	150	150	38.7	388.2	182.5	3406735	40113	3044	0	92.0	358.03743205704916	188.98238725327417	764
ST20112212	6721293	0	6721293	1	3357613	3363680	6630140	6623126	91153	6567776	6710707	0	169153	0	429	1008193950	503641950	504552000	994521000	992980425	0	0	2049669	2.064158e-03	150	150	150	150	150	150	38.8	333.5	170.2	3213170	96795	1598	0	97.7	342.0850614565673	169.77829571082978	1198
ST20112213	3226028	0	3226028	1	1603336	1622692	3094252	3082824	131776	3069678	3212836	0	69254	0	211	483904200	240500400	243403800	464137800	463523479	0	0	1166183	2.515909e-03	150	150	150	150	150	150	37.8	333.4	159.2	1502641	37916	855	0	95.2	159.68583992594273	99.74527875684642	363
ST20112215	5210903	0	5210903	1	2603289	2607614	4668636	4642170	542267	4578376	5173259	0	87449	0	366	781635450	390493350	391142100	700295400	698601985	0	0	11710715	1.676307e-02	150	150	150	150	150	150	38.7	311.4	154.5	2241781	77890	1414	0	87.9	240.63262419215198	132.4539329096701	541
ST20112222	6844327	0	6844327	1	3419414	3424913	6424056	6393016	420271	6350700	6797684	0	95793	0	458	1026649050	512912100	513736950	963608400	962158956	0	0	16209675	1.684719e-02	150	150	150	150	150	150	38.8	358.8	174.4	3142635	51840	2033	0	92.8	331.4096138694055	173.4034264609695	611
ST20112455	5479620	0	5479620	1	2737777	2741843	4937915	4906806	541705	4860390	5434771	0	93948	0	399	821943000	410666550	411276450	740687250	739066707	0	0	13144382	1.778511e-02	150	150	150	150	150	150	38.7	336.9	173.8	2381155	70329	1919	0	88.7	254.56621313372509	147.64025649808903	719
ST20120204_S1_L001	768464	0	768464	1	385140	383324	555048	536362	213416	532282	747083	0	4481	0	105	192116000	96285000	95831000	138762000	138015965	0	0	2835836	2.054716e-02	250	250	250	250	250	250	36.3	264.3	17.9	224657	43508	16	0	69.3	47.52756596714898	16.93031388153823	621
ST20120205	8053099	0	8053099	1	4020723	4032376	7824177	7816132	228922	7797334	8037192	0	169877	0	349	1207964850	603108450	604856400	1173626550	1173094445	0	0	2039460	1.738530e-03	150	150	150	150	150	150	38.5	404.1	162.4	3878466	28727	873	0	96.8	404.13687052968373	194.24521300363327	166
ST20120206_S1_L001	1377722	0	1377722	1	690677	687045	1213554	1173386	164168	1172680	1331795	0	8022	0	151	344430500	172669250	171761250	303388500	302753208	0	0	6337846	2.093403e-02	250	250	250	250	250	250	36.5	328.2	63.7	554512	32056	125	0	85.1	104.25904812171353	35.11661377324625	563
ST20120207	5446802	0	5446802	1	2721868	2724934	4937096	4907336	509706	4852002	5405449	0	92664	0	411	817020300	408280200	408740100	740564400	738816172	0	0	12998990	1.759435e-02	150	150	150	150	150	150	38.8	314.3	155.8	2373386	78744	1538	0	89.1	254.47935502385948	141.5769591515794	606
ST20120208	3417541	0	3417541	1	1696004	1721537	3300163	3290100	117378	3259828	3399893	0	74568	0	283	512631150	254400600	258230550	495024450	494088771	0	0	1092315	2.210767e-03	150	150	150	150	150	150	37.9	303.0	143.8	1586182	58404	464	0	95.4	170.21633772810003	88.35665507836869	270
ST20120211_S1_L001	1424681	0	1424681	1	713263	711418	1260616	1212626	164065	1210640	1368616	0	9073	0	197	356170250	178315750	177854500	315154000	314449956	0	0	6586019	2.094457e-02	250	250	250	250	250	250	36.4	327.6	66.5	570415	35477	421	0	85.0	108.28404933613402	40.86509891286399	721
